Id,Word,Transcription,Definition,Example
390,goal,ɡəʊl,A goal is something you work toward.,Her goal was to become a doctor.
391,lie,lai,To lie is to say or write something untrue to deceive someone.,"Whenever Pinocchio lied to his father, his nose grew."
392,meat,miːt,Meat is food made of animals.,This piece of meat I’m eating tastes very good.
393,opinion,əˈpɪnjən,An opinion is a thought about a person or a thing.,Meg told me her opinion of my story. She said it was not funny.
394,real,rɪəl,"If something is real, it actually exists.","Some people don’t believe in aliens from space, but I think they’re real."
395,reflect,rɪˈflekt,"To reflect is when a surface sends back light, heat, sound or an image.",Her face was reflected in the smooth glass.
396,regard,rɪˈɡɑːrd,To regard people is to think of them in a certain way.,The boy regarded the girl as a good friend.
397,serve,sɜːrv,To serve someone is to give them food or drinks.,He served us our drinks quickly.
398,vegetable,ˈvedʒtəbl,A vegetable is a plant used as food.,Carrots are my favorite vegetable.
399,war,wɔːr,A war is a big fight between two groups of people.,Many young men died in the war.
400,worth,wɜːrθ,"If something is worth an amount of money, it costs that amount.",Our house is worth a lot of money.
401,appear,əˈpɪr,To appear is to seem.,She appeared to be sad. She was crying.
402,base,beɪs,The base is the bottom of something.,The base of the table has three legs.
403,brain,breɪn,The brain is the organ in your head that lets you think.,You must use your brain to solve the problem.
404,career,kəˈrɪr,A career is a job that you do for a large part of your life.,He was in the hospitality business for most of his career.
405,clerk,klɜːrk,A clerk is a type of worker. Clerks in a store help customers.,The clerk added up her bill for the groceries.
406,effort,ˈefərt,Effort is hard work or an attempt to do something.,He always puts a lot of effort into his studies.
407,enter,ˈentər,To enter a place is to go into it.,Two guards greeted me as I entered the front door.
408,excellent,ˈeksələnt,"When something is excellent, it is very good.",I got an excellent score on my school test.
409,hero,ˈhɪrəʊ,A hero is a brave person who does things to help others.,"To children, the man in the blue and red costume was a real hero."
410,hurry,ˈhɜːri,To hurry is to do something quickly.,I hurried home on my bike.
411,inform,ɪnˈfɔːrm,To inform someone is to tell them about something.,I called and informed her about my idea.
412,later,ˈleɪtər,"Later means after the present, expected, or usual time.","She missed the train, so she’ll arrive a little later than expected."
413,leave,liːv,To leave means to go away from someone or something.,He packed his bag and was ready to leave for home.
414,locate,ˈləʊkeɪt,To locate something is to find it.,I could not locate my keys in the house.
415,nurse,nɜːrs,A nurse is a person who helps sick people in the hospital.,A nurse helped me get better.
416,operation,ˌɑːpəˈreɪʃn,An operation is when a doctor replaces or removes something in the body.,The operation on my arm was a success.
417,pain,peɪn,Pain is the feeling that you have when you are hurt.,His head was full of pain.
418,refuse,rifjúːz,To refuse something is to say “no” to it.,The dog refused to play with the cat.
419,though,ðəʊ,Though is used when one idea makes another seem surprising.,"Though he was overweight, he liked to be active."
420,various,ˈveriəs,"If something is various, there are many types of it.",She owned shoes of various styles.
421,actual,ˈæktʃuəl,Actual means real or true.,"This is the actual sword that the king owned, not a fake one."
422,amaze,əˈmeɪz,To amaze people is to surprise them very much.,The news in the paper amazed Jack.
423,charge,tʃɑːrdʒ,A charge is the price to pay for something.,The charge for the shirts was $15.
424,comfort,ˈkʌmfərt,To comfort someone means to make them feel better.,I wanted to comfort my friend after I heard the bad news.
425,contact,ˈkɑːntækt,To contact people is to speak or write to them.,I contacted Sue about my party.
426,customer,ˈkʌstəmər,A customer is a person who buys something at a store.,The customer put a few items in a bag.
427,deliver,dɪˈlɪvər,To deliver something is to take it from one place to another.,The man delivered Chinese food to my house.
428,earn,ɜːrn,To earn means to get money for the work you do.,He earns his living as a chef in a great restaurant.
429,gate,ɡeɪt,A gate is a type of door. Gates are usually made of metal or wood.,We want to put up a wooden gate around our house.
430,include,ɪnˈkluːd,To include something means to have it as part of a group.,Does this meal include a soft drink?
431,manage,ˈmænɪdʒ,To manage something means to control or be in charge of it.,I had to manage the meeting myself.
432,mystery,ˈmɪstəri,A mystery is something that is difficult to understand or explain.,The path on the map was a complete mystery to me.
433,occur,əˈkɜːr,To occur means to happen.,When did the thunderstorm occur?
434,opposite,ˈɑːpəzɪt,"If A is the opposite of B, A is completely different from B.",The opposite of black is white.
435,plate,pleɪt,A plate is a flat round thing that you put food on.,I put my plate down so I could put some food on it.
436,receive,rɪˈsiːv,To receive something is to get it.,I received a present on my birthday.
437,reward,rɪˈwɔːrd,A reward is something given in exchange for good behavior or work.,He was given a reward for his excellent performance.
438,set,set,To set something is to put it somewhere.,Please set the dice down on the table.
439,steal,stiːl,To steal is to take something that is not yours.,The men tried to steal money from the bank.
440,thief,θiːf,A thief is someone who quietly takes things that do not belong to them.,A thief broke into our home and took my mother’s jewelry.
441,advance,ədˈvæns,To advance is to go forward.,He advanced across the bridge slowly.
442,athlete,ˈæθliːt,An athlete is a person who plays sports.,Some athletes can play many sports very well.
443,average,ˈævərɪdʒ,"If something is average, it is at a normal level.",I’m not rich or poor; I’m average.
444,behavior,bihéivjər,Your behavior is the way you act.,Their behavior was good this semester. They didn’t cause trouble.
445,behind,bɪˈhaɪnd,Behind means to be at the back of something.,The little girl was hiding behind a tree.
446,course,kɔːrs,A course is a class in school.,I took a P.E. course in school this year.
447,lower,lóuər,To lower something is to make it go down.,The chart shows how his production has lowered over the year.
448,match,mætʃ,To match is to be the same or similar.,The two shoes matched. They looked the same.
449,member,ˈmembər,A member is a person who is part of a group.,Julie is the newest member of our team.
450,mental,ˈmentl,"If something is mental, it has to do with your mind.",I made a mental picture of the room.
451,passenger,ˈpæsɪndʒər,"A passenger is a person who rides in a car, train, or airplane.",One passenger was standing near the subway train.
452,personality,ˌpɜːrsəˈnæləti,Your personality is what you are like and how you behave.,John has a bad personality.
453,poem,ˈpəʊəm,A poem is a short kind of writing.,William Shakespeare wrote many poems.
454,pole,pəʊl,A pole is a long thin stick made of wood or metal that supports things.,The flag was hanging from the flag pole.
455,remove,rɪˈmuːv,To remove something is to take it away.,I removed the nail from the board.
456,safety,ˈseɪfti,Safety means the condition of being safe and free from danger.,"For his own safety, he was placed in a car seat."
457,shoot,ʃuːt,To shoot is to fire something like a bullet at someone or something.,The hunter raised his gun to shoot at the target.
458,sound,saʊnd,To sound means to make a noise.,The alarm clock sounded and woke us all up.
459,swim,swɪm,To swim is to move through water.,I love to swim in the ocean.
460,web,web,A web is a home made by a spider.,Mom cleaned the spider webs out of the garage.
461,block,blɑːk,"A block is a solid piece of wood, stone, or ice.",I saw a block of ice on the floor.
462,bury,ˈberi,"When you bury something, you put it under the ground or under a lot of other things.",My father was buried in his hometown when he died.
463,cheer,tʃɪr,To cheer is to give a loud shout of approval or encouragement.,The crowd all cheered when the home team won.
464,complex,kəmˈpleks,"If something is complex, it has many small parts. It is hard to understand.",A jigsaw puzzle can be complex because it has so many pieces.
465,critic,ˈkrɪtɪk,"A critic is someone who gives opinions about movies, books, plays, etc.",The wine critic tasted the wine so he could give his opinion.
466,direction,daɪˈrekʃn,A direction is the way to go.,"Go in this direction for 10 minutes, and you will get to the river."
467,event,ɪˈvent,"An event is something that happens, especially something important.",Finishing high school was a major event in his life.
468,exercise,ˈeksərsaɪz,To exercise is to run or play sports so that you can be healthy.,You should exercise every day.
469,friendship,ˈfrendʃɪp,Friendship is the relationship between people who are friends.,Michael and Lisa have a very strong friendship with each other.
470,guide,ɡaɪd,A guide is someone who shows you where to go.,We followed a guide at the park.
471,lack,læk,"If there is a lack of something, there is not enough of it.",His only problem is a lack of money.
472,perform,pərˈfɔːrm,To perform is to do something in front of people who watch.,He will perform a song for the class.
473,pressure,ˈpreʃər,Pressure is what you apply to make someone do something.,They put pressure on him to change his mind.
474,probably,ˈprɑːbəbli,"If something will probably happen, it is likely to happen.",You will probably get a good grade if you study for the test.
475,public,ˈpʌblɪk,"If something is public, it is meant for everyone to use.",I went to the public park to play with my friends.
476,smart,smɑːrt,Smart means intelligent.,Mary is a smart student.
477,strike,straɪk,To strike people or things is to hit them.,She struck the other girl in the face.
478,support,səˈpɔːrt,To support something is to like it and help it be successful.,Everyone at work supports the new plan.
479,term,tɜːrm,A term is a word for something.,I often use the term “oops” when I make a mistake.
480,unite,juˈnaɪt,To unite is to get together to do something.,"If we unite, we can finish our project faster."
481,associate,əˈsəʊʃieɪt,To associate means to connect something with a person or thing.,Most people associate birthday parties with having fun.
482,environment,ɪnˈvaɪrənmənt,The environment is the place where people work or live.,Keeping our environment clean is important to our health.
483,factory,ˈfæktəri,A factory is a building where things are made or put together.,We have only one factory in our town.
484,feature,ˈfiːtʃər,A feature is an important part of something.,The cell phone has many features.
485,instance,ˈɪnstəns,An instance is an example of something.,I have never experienced an instance of hate. Have you?
486,involve,ɪnˈvɑːlv,To involve means to include as an active participant.,The whole family was involved in playing the game.
487,medicine,ˈmedɪsn,Medicine is something you take to feel better or treat an illness.,The doctor gave me medicine for my cold.
488,mix,mɪks,A mix is different things put together.,The green mix we made in science class spilled onto the table.
489,organize,ˈɔːrɡənaɪz,To organize is to plan or get ready for an event.,Make a list to help you organize the things you need.
490,period,ˈpɪriəd,A period is an amount of time when something happens.,"In one period in Europe, there were many knights."
491,populate,ˈpɑːpjuleɪt,"If people populate an area, they live there.",Billions of people populate the Earth.
492,produce,prəˈduːs,To produce something is to make or grow it.,This tree produces apples every year.
493,range,reɪndʒ,A range is a number or a set of similar things.,I saw a range of cars to choose from.
494,recognize,ˈrekəɡnaɪz,To recognize something is to know it because you have seen it before.,I recognized an old friend from many years ago.
495,regular,ˈreɡjələr,"If something is regular, it happens often and in equal amounts of time.",Our regular lunch time is around noon.
496,sign,saɪn,"A sign is an indication giving information, directions, a warning, etc.",The sign indicated that today would be a bad day.
497,tip,tɪp,A tip is a pointed end of something.,The tip of his pen was very sharp.
498,tradition,trəˈdɪʃn,A tradition is something people have been doing for a long time.,Marriage is a tradition all over the world.
499,trash,træʃ,Trash is waste material or unwanted or worthless things.,Please take out the trash; it smells bad.
500,wide,waɪd,"If something is wide, it is large from side to side.",The door was as wide as my arms.
501,advice,ədˈvaɪs,Advice is an opinion about what to do.,I don’t know how to study for my exams. Can you give me some advice?
502,along,əˈlɔːŋ,"Along means down the length of a road, river, etc.","Walk along this tunnel for ten minutes, and you’ll see a door on the left."
503,attention,əˈtenʃn,"Attention is the notice, thought, or consideration of someone.",His work got the attention of two of his co-workers.
504,attract,əˈtrækt,To attract means to make a person or thing come closer or be interested.,The magnet attracted the metal.
505,climb,klaɪm,To climb means to use your hands and feet to go up something.,The girls climbed to the top of the mountain.
506,drop,drɑːp,To drop is to fall or allow something to fall.,A small amount of water dropped from the bottle.
507,final,ˈfaɪnl,"If something is final, it is the last part.","In the final part of the film, the man and the woman got married."
508,further,ˈfɜːrðər,Further means at or from a greater distance or time.,The escalator is further than I thought.
509,imply,ɪmˈplaɪ,To imply something is to suggest it without saying it.,"The man implied that he wanted the job, but he didn’t say so."
510,maintain,meɪnˈteɪn,To maintain means to make something stay the same.,The balls maintain constant movement.
511,neither,ˈniːðə(r),You use neither to connect two negative possibilities.,Neither the path on the left nor the path on the right will lead us home.
512,otherwise,ˈʌðərwaɪz,Otherwise means in another way if you don’t do this.,"It’s good to stay active; otherwise, you’ll gain weight."
513,physical,ˈfɪzɪkl,"If something is physical, it is related to your body and not your mind.",Biking is good for your physical health.
514,prove,pruːv,To prove something is to show that it is true.,My teacher proved the answer on the board.
515,react,riˈækt,To react is to respond by acting in a certain way.,James reacted badly to the news.
516,ride,raɪd,"To ride something is to travel on it. You can ride an animal, a bike, etc.",I will ride a roller coaster for the first time today.
517,situated,ˈsɪtʃueɪtɪd,"If something is situated somewhere, it is in that place.",The whiteboard is situated between the two men.
518,society,səˈsaɪəti,Society is a group of people who interact and share a culture.,Society expects people to be good and honest.
519,standard,ˈstændərd,A standard is what people consider normal or good.,This older model TV is below our store’s standards.
520,suggest,səˈdʒest,To suggest something means to give an idea or plan about it.,He suggested that we go to see his boss.
521,actually,ˈæktʃuəli,Actually means in fact or really.,"My dad looks a little mean, but actually he’s very kind."
522,bite,baɪt,Bite is the act of using your teeth to cut and tear into something.,The boy took a big bite of his hamburger.
523,coast,kəʊst,The coast is the land by an ocean.,I stayed on the southern coast of Australia.
524,deal,diːl,A deal is an agreement that you have with another person.,I made a deal with the other company to give us some money.
525,desert,ˈdezərt,The desert is an area of land without many plants or water.,Not many plants grow in the desert.
526,effective,ɪˈfektɪv,"If something is effective, it works well.",Swimming is an effective way to stay healthy.
527,examine,ɪɡˈzæmɪn,To examine something is to look at it carefully.,The doctor examined my eyes today.
528,FALSE,fɔːls,"If something is false, it is not correct.","If you think the answer is false, press the red button."
529,figure,ˈfɪɡjər aʊt,"When you figure something out, you come to understand it and find an answer.",I couldn’t figure out what he wanted me to do.
530,gift,ɡɪft,A gift is something you give someone.,Dave received many gifts for Christmas.
531,hunger,ˈhʌŋɡər,Hunger is the feeling that you get when you need to eat.,"After playing all day long, he was filled with hunger."
532,imagine,ɪˈmædʒɪn,To imagine something is to think of it in your mind.,Sally imagined herself winning lots of money.
533,journey,ˈdʒɜːrni,A journey is a long trip.,I went on a journey across the country with my parents.
534,puzzle,ˈpʌzl,A puzzle is something that is hard to understand.,The question was a puzzle to him.
535,quite,kwaɪt,Quite means that something is a certain way completely or very much.,I think typing on a keyboard is quite easy.
536,rather,ˈræðər,Rather is used when you want to do one thing but not the other.,I would rather have the red one than the blue one.
537,specific,spəˈsɪfɪk,"If something is specific, it is precise or exact.",Please choose a specific place on the map.
538,spider,ˈspaɪdər,A spider is a small creature with eight legs.,Some adults have a fear of little creatures such as spiders.
539,tour,tɔː(r),A tour is a short trip in which you see many sights.,I took a tour of Asia and Europe.
540,trip,trɪp,A trip is a journey to a certain place.,Ken took a trip to the city yesterday.
541,band,bænd,A band is a group of people who play music.,My brother is in a rock band.
542,barely,ˈberli,"Barely means by the smallest amount, almost not.",I barely had enough money to pay for my bus ticket.
543,boring,ˈbɔːrɪŋ,"If something is boring, it is not fun.",I think the Internet is boring.
544,cancel,ˈkænsl,To cancel means to decide that an event or a request will not happen.,She canceled the rest of her plans because of the rain.
545,driveway,ˈdraɪvweɪ,A driveway is a short private road that leads to a person’s home.,The long driveway led us to their new house.
546,garbage,ˈɡɑːrbɪdʒ,"Garbage is waste material like unwanted or spoiled food, bottles, paper, etc.",The boy cleaned up the garbage around his house.
547,instrument,ˈɪnstrəmənt,An instrument is something designed to do a certain task like play music.,My favorite musical instrument is the piano.
548,list,lɪst,A list is a record of information printed with an item on each line.,My mom makes a list of groceries to buy.
549,magic,ˈmædʒɪk,Magic is the power to do impossible things.,The magician used magic to pull a rabbit out of his hat.
550,message,ˈmesɪdʒ,A message is a set of words that you send to someone.,I left a message for you in the envelope.
551,notice,ˈnəʊtɪs,To notice something is to see it for the first time.,Did you notice the view?
552,own,əʊn,To own something means to have it. That thing belongs to you.,My grandfather owns that house.
553,predict,prɪˈdɪkt,To predict something is to say that it will happen.,She predicted that I would get married next year.
554,professor,prəˈfesər,A professor is a person who teaches in college.,Mike’s science professor knows a lot about physics.
555,rush,rʌʃ,To rush is to go somewhere or do something very quickly.,Nancy rushed to finish her homework.
556,schedule,ˈskedʒuːl,A schedule is a plan that tells you when to do things.,What is your class schedule for today?
557,share,ʃer,To share something is to give some of it to another person.,Jimmy shared his apple with me.
558,stage,steɪdʒ,A stage is a place where actors or musicians act or sing.,A large screen was on the stage.
559,storm,stɔːrm,A storm is very bad weather. There is a lot of rain or snow.,Did that storm wake you up last night?
560,within,wɪˈðɪn,You use within to say that something is inside another thing.,"Within the box, there was a pizza."
561,burden,ˈbɜːrdn,A burden is a serious or difficult responsibility.,Children who do not behave are a burden to their parents.
562,compromise,ˈkɑːmprəmaɪz,To compromise is to agree to something that is not exactly what you want.,We both compromised about the game we decided to play.
563,craft,kræft,To craft something is to make it using skill.,She crafted the bookcase out of solid pine wood and then painted it.
564,dive,daɪv,"When you dive into water, you go down head first into the water.",I like sky-diving from an airplane.
565,fragile,ˈfrædʒl,"When people or things are fragile, they are not strong and can be damaged easily.",The fragile glassware was carefully packed into boxes.
566,half,hæf,"If you cut something into two parts that are the same size, you cut it half.",The machine can divide the book in half.
567,innocence,ˈɪnəsns,Innocence is a lack of experience of difficult or complex things in life.,Everyone who met her found her innocence to be charming.
568,lead,liːd,"When you lead something, you go first and it follows you.",I will lead you to the right place.
569,meeting,ˈmiːtɪŋ,"When you have a meeting, you are with other people.",We have lots of meetings at our school to plan what to do.
570,merge,mɜːrdʒ,To merge two things is to combine them into one whole thing.,The storm clouds merged into one large menacing cloud that filled the sky.
571,moderate,ˈmɑːdərət,"When something is moderate, it is not too big or too small in size or amount.",It takes a moderate amount of patience to be around small children all day.
572,overwhelm,ˌəʊvərˈwelm,To overwhelm is to exist in such a large amount that someone cannot deal with it.,The amount of homework her teacher assigned has overwhelmed her.
573,payment,ˈpeɪmənt,"When you make a payment, you give someone some money for what you get.",I made the last payment on my car yesterday. Now I am really the owner.
574,perception,pərˈsepʃn,A perception of a situation is a way of thinking about it or understanding it.,"Since he couldn’t see, his perception of life was much different than mine."
575,settle,ˈsetl,"When you settle something, you reach an agreement.",We settled the argument by looking up the answer on the web.
576,shiver,ˈʃɪvər,A shiver is a shaking movement the body makes when someone is cold or scared.,I got shivers on my way home because it was so cold.
577,sociable,ˈsəʊʃəbl,"When someone is sociable, they are friendly.","Many of my good friends are sociable, but I am shy."
578,speed,spiːd,"When you speed, you go very fast.",Speeding is the cause of most car accidents.
579,talkative,ˈtɔːkətɪv,"When someone is talkative, he or she talks a lot.",My aunt is very talkative whenever she is on the phone.
580,usual,ˈjuːʒəl,"When something is usual, it is what we expect.",It was just the usual people who came.
581,above,əˈbʌv,"If something is above, it is at a higher level than something else.",He straightened the sign that was above the crowd.
582,ahead,əˈhed,"If something is ahead of something else, it is in front of it.",The blue car drove on ahead of us.
583,amount,əˈmaʊnt,An amount is how much there is of something.,Can I use my card to pay for the entire amount?
584,belief,bɪˈliːf,A belief is a strong feeling that something is correct or true.,A preacher or priest should have a strong belief in God.
585,center,ˈsentər,The center of something is the middle of it.,The center of a dart board is the most important spot.
586,common,ˈkɑːmən,"If something is common, it happens often or there is much of it.",It is common for snow to fall in the winter.
587,cost,kɔːst,To cost is to require payment.,These designer shoes cost more than the regular ones.
588,demonstrate,ˈdemənstreɪt,To demonstrate something is to show how it is done.,She demonstrated her plan to her co-workers.
589,different,ˈdɪfrənt,Different describes someone or something that is not the same as others.,Each of my sisters has a different hair style.
590,evidence,ˈevɪdəns,Evidence is a fact or thing that you use to prove something.,He used the pictures as evidence that UFOs are real.
591,honesty,ˈɑːnəsti,Honesty means the quality of being truthful or honest.,A courtroom should be a place of honesty.
592,idiom,ˈɪdiəm,An idiom is a phrase with a meaning different from its words.,The idiom “when pigs fly” means that something will never happen.
593,independent,ˌɪndɪˈpendənt,"If something is independent, it is not controlled by something else.",She chose to live an independent life in the country.
594,inside,ˌɪnˈsaɪd,"Inside means the inner part, space or side of something.",The inside of the box was empty.
595,jail,dʒeɪl,A jail is a place to keep bad people.,He was sent to jail for taking other people’s cars.
596,master,ˈmæstər,A master is a person who is very good at something.,My brother is a master of taekwondo.
597,memory,ˈmeməri,A memory is something you remember.,The memory of my first time in the city will always be the best.
598,pocket,ˈpɑːkɪt,A pocket is a part of your clothing where you can keep things.,She always had her hands in her pockets.
599,proper,ˈprɑːpər,"If something is proper, it is right.",It is not proper to throw your garbage on the road.
600,sale,seɪl,"If something is for sale, you can buy it.",Everything for sale here is the same price.
601,because,bɪˈkɒz,Because introduces a reason for something.,We need to study because we have a test tomorrow.
602,east,iːst,East is the direction the sun rises from.,"My window looks to the east, so I can watch the sunrise every morning."
603,expensive,ɪkˈspensɪv,Expensive things cost a lot of money.,My friend drives an expensive sports car.
604,flower,ˈflaʊər,A flower is the colored part of a plant.,She gave pink flowers to her grandmother.
605,garden,ˈɡɑːrdn,A garden is an area where people grow plants.,The garden is very bright and colorful in the spring.
606,holiday,ˈhɒlədi,A holiday is a special day of celebration.,"Monday was a holiday, so there was no school or work."
607,many,ˈmeni,Many shows that there is a large number of something.,There are many people on the street.
608,million,ˈmɪljən,"A million is another way to write the number 1,000,000.","Almost 19 million people live in Delhi, India."
609,mountain,ˈmaʊntn,A mountain is a very high hill.,Mount Everest is the highest mountain in the world.
610,place,pleɪs,A place is a space or area.,A library is a place where people can read books.
611,popular,ˈpɑːpjələr,A popular thing is liked by many people.,These people are listening to a popular man speak.
612,ski,skiː,To ski is to glide on long pieces of wood or metal over snow.,The man likes to ski and goes every weekend.
613,such,sʌtʃ,Such means “like this”.,I have never seen such a beautiful sunset before.
614,total,ˈtəʊtl,Total shows that everyone or everything has been counted.,The total cost of the items she bought was $52.
615,tower,ˈtaʊər,"A tower is a tall, narrow building.",This is a very famous tower in Italy.
616,town,taʊn,"A town is a place where people live and work, and is smaller than a city.","I come from a small town, and everyone there knows each other."
617,train,treɪn,A train is a group of railway cars connected together.,"The train is very fast, so we can get home in one hour."
618,walk,wɔːk,"To walk is to move forward using legs, but it is slower than running.",The children walk to school in the morning.
619,watch,wɑːtʃ,To watch is to look at someone or something for a period of time.,My friend came over to watch a movie with me.
620,world,wɜːrld,The world is the Earth and all the people and things in it.,What are the names of the five oceans of the world?
621,anxious,ˈæŋkʃəs,Anxious means feeling worried or nervous.,She was anxious about not making her appointment on time.
622,awful,ˈɔːfl,An awful thing is very bad.,Her performance last night was awful.
623,consist,kənˈsɪst,To consist of certain is to be made of parts or things them.,"Today’s choices for lunch consisted of pizza, hamburgers, and hot dogs."
624,desire,dɪˈzaɪər,To desire is to want something.,My sister desires a big house and lots of money.
625,eager,ˈiːɡər,Eager shows excitement about something.,The man was eager to talk about the good news.
626,household,ˈhaʊshəʊld,A household is all the people who live in one house.,"Our household is made up of my father, my mother, and me."
627,intent,ɪnˈtent,An intent is a plan to do something.,Her intent is to visit Italy next summer.
628,landscape,ˈlændskeɪp,A landscape is how an area of land looks.,The landscape of the country is very green.
629,lift,lɪft,To lift something is to move it higher.,The man tried to lift the box.
630,load,ləʊd,To load is to put objects into something.,The man loaded the boxes into a truck.
631,lung,lʌŋ,A lung is a part of the body that fills with air when breathing.,Having strong lungs is necessary for a healthy life.
632,motion,ˈməʊʃn,A motion is a movement that someone makes.,The police officer made a motion with his hand.
633,pace,peɪs,The pace of something is the speed at which it happens.,I ran the race at a slower pace than my friend.
634,polite,pəˈlaɪt,Polite shows a thoughtful and kind behavior.,The boy was very polite; he behaved very thoughtfully.
635,possess,pəˈzes,To possess something is to have it or own it.,"My uncle possesses three sheep, a chicken, a cow, and a dog."
636,rapidly,ˈræpɪdli,Rapidly means happening very fast.,The train moved rapidly on the tracks.
637,remark,rɪˈmɑːrk,To remark is to say something.,The teacher remarked on how quickly the students were learning.
638,seek,siːk,To seek is to look for something.,"If I have a problem, I seek my sister’s advice."
639,shine,ʃaɪn,To shine is to make a bright light.,The candles are shining in the dark room.
640,spill,spɪl,To spill is to accidentally make something fall out of its container.,I spilled the coffee on the table.
641,arrow,ˈærəʊ,"An arrow is a thin, straight stick shot from a bow.",The arrow flew through the air and hit the target.
642,battle,ˈbætl,A battle is a fight between two armies during a war.,The battle lasted for many days.
643,bow,bou,A bow is a weapon made of curved wood and string that shoots arrows.,He went hunting with a bow and arrow.
644,brave,breɪv,A brave person is not afraid to face pain or danger.,The brave firefighter saved the girl from the burning building.
645,chief,tʃiːf,A chief is the leader of a group of people.,The chief led the people through the mountains.
646,disadvantage,ˌdɪsədˈvæntɪdʒ,A disadvantage is a situation that makes it hard to do something.,Mike had a disadvantage in the race since he hurt his knee.
647,enemy,ˈenəmi,An enemy is a country that is fighting another country during a war.,The enemy prepared to attack the kingdom.
648,entrance,éntrəns,An entrance is a place where someone can enter an area.,"The gate was locked, so Bill had to find a different entrance."
649,hardly,ˈhɑːrdli,Hardly shows that something happens in a very small way.,I hardly saw the concert since I had to leave early.
650,intend,ɪnˈtend,To intend to do something means to plan to do it.,I intend to finish college in three years.
651,laughter,ˈlæftər,Laughter is the sound produced by laughing about something funny.,Susan’s joke made her classmates burst into laughter.
652,log,lɔːɡ,A log is a thick piece of wood that is cut from a tree.,"The fire was too small, so we added another log to it."
653,military,ˈmɪləteri,The military is the armed forces of a country.,I joined the military after I finished high school.
654,obey,əˈbeɪ,To obey means to follow what a law or a person says to do.,"My little sister did not obey my mother. Now, she is in trouble."
655,secure,sɪˈkjʊr,To secure something means to get it after a lot of effort.,I was able to secure a good grade on my test after weeks of studying.
656,steady,ˈstedi,Steady shows that someone or something does not change much.,"The problem was hard, but she remained steady and solved it."
657,trust,trʌst,To trust is to believe that someone is honest and will do what is right.,I trust my friends; they don’t tell my secrets to other people.
658,twist,twɪst,When we twist something we turn it around and around.,She twisted the spaghetti around her fork.
659,unless,ənˈles,Unless means if not or except when.,"Unless you clean your room, you cannot play with your friends."
660,weapon,ˈwepən,A weapon is an object used to hurt people.,Swords have been used as weapons for thousands of years.
661,chest,tʃest,The chest is the front part of a body between the neck and stomach.,The water in the lake was as high as my chest.
662,confidence,ˈkɑːnfɪdəns,Confidence is a feeling of certainty or ability.,I have confidence that I did well on the test.
663,consequence,ˈkɑːnsɪkwens,A consequence is a result of a choice or action.,"As a consequence of missing my bus, I had to find another way to work."
664,disaster,dɪˈzæstər,A disaster is a really bad thing that happens.,"When the car crashed, it was a disaster."
665,disturb,dɪˈstɜːrb,To disturb someone means to upset that person.,The loud noise disturbed me while I was working.
666,estimate,ˈestɪmeɪt,To estimate something means to make a guess about it.,The boy estimated that he was one meter tall.
667,honor,ˈɑːnər,To honor is to show respect for someone or something.,Each year we honor those who died fighting for their country.
668,impress,ɪmˈpres,To impress someone means to make that person proud or amazed.,He was able to impress the girls with his new dance.
669,narrow,ˈnærəʊ,"A narrow object or space is thin, not wide.",The bridge is too narrow for a car to drive across it.
670,pale,peɪl,Pale means that a color or thing is not bright.,The girl’s skin was very pale.
671,rough,rʌf,A rough thing is not even or smooth.,The rough ground hurt my feet.
672,satisfy,ˈsætɪsfaɪ,To satisfy someone means to make that person happy.,It will satisfy my teacher if I finish all my homework.
673,scream,skriːm,To scream means to make a loud noise with your mouth.,The girl saw a spider and screamed.
674,sensitive,ˈsensətɪv,A sensitive person or thing is easily hurt.,My teeth are sensitive to cold things.
675,shade,ʃeɪd,Shade is a dark area that something makes when it blocks the sun.,"It was hot outside, so the boy sat in the shade of a tree."
676,strength,streŋkθ,Strength is the ability to do hard work or exercise.,Eating good food builds up your strength.
677,supplement,ˈsʌplɪmənt,To supplement something is to add something else to it in a good way.,He supplements his diet with fresh fruits.
678,terror,ˈterər,Terror is a feeling of very strong fear.,I felt a sense of terror when the tiger chased me.
679,threat,θret,A threat is something bad that might happen.,"Due to the dark clouds, there was a threat of a bad storm."
680,victim,ˈvɪktɪm,A victim is a person who is hurt by a bad action.,I was a victim of a robbery.
681,ancestor,ˈænsestər,An ancestor is a family member from the past.,My ancestors came from Germany.
682,angle,ˈæŋɡl,An angle is the direction from which something is looked at.,The giraffe turned its head to see from another angle.
683,boot,buːt,A boot is a heavy shoe that goes up above a person’s ankle.,He wore boots so that his feet wouldn’t get wet.
684,border,ˈbɔːrdər,A border is the edge of an area.,The postcard had a pretty green border of pine needles.
685,congratulate,kənˈɡrætʃəleɪt,To congratulate someone is to tell them that you are happy for them.,Bill and Angela congratulated each other on a job well done.
686,frame,freɪm,A frame is a border for a picture or mirror.,I have to get a frame for my friend’s picture.
687,heaven,ˈhevn,Heaven is the place that some believe people go to after they die.,"When I die, I hope that I go to heaven."
688,incredible,ɪnˈkredəbl,An incredible thing is so amazing that it is hard to believe.,I have an incredible story to tell you about my vacation.
689,legend,ˈledʒənd,A legend is a story from the past.,There is a well-known legend about a king and his queen.
690,praise,preɪz,To praise is to show that you like someone or something.,The coach praised the athletes after a good practice.
691,proceed,prəʊˈsiːd,To proceed is to go somewhere or to continue doing something.,My son and I proceeded to the beach so we could go fishing.
